Name,Scope Project1,
File,D:\OneDrive - Profen Group\1-Projeler\1-MİYEG\3-TESTLER\YERYAZ\İkitelli Atölye Çatısı\20211110\1- Laser_Tracker_90_0.csv,
Starttime of export,132810200741370000,Wednesday, November 10, 2021,15:14:34.137
Endtime of export,132810201739870000,Wednesday, November 10, 2021,15:16:13.987


Name,lMotor_Vel_X,Name,lMotor_Vel_Y,Name,lposfeed_X,Name,lposfeed_Y,Name,lposref_X,Name,lposref_Y,Name,X_Error,Name,Y_Error,Name,XMotor_Tork,Name,YMotor_Tork,Name,uExtResX_IO,Name,uExtResY_IO,Name,lposfeed_XExt,Name,lposfeed_YExt,Name,lSpeedout_X,Name,lSpeedout_Y,Name,Azimuth,Name,Elevation,Name,wHour,Name,wMinute,Name,wSecond,Name,wMilliseconds
SymbolComment,,SymbolComment,,SymbolComment,X ekseni pozsiyon geri besleme degiskeni,SymbolComment,Y ekseni pozsiyon geri besleme degiskeni,SymbolComment,X ekseni referans pozisyon degiskeni,SymbolComment,Y ekseni referans pozisyon degiskeni,SymbolComment,Motor referansi ile enkoder degerinin farki bu parametrede guncellenir,SymbolComment,Motor referansi ile enkoder degerinin farki bu parametrede guncellenir,SymbolComment, X Motor Tork degeri,SymbolComment, Y Motor Tork degeri,SymbolComment,Ext Resistance Parameter,SymbolComment,Ext Resistance Parameter,SymbolComment,X Dogu encoder degiskeni,SymbolComment, Yekseni Kuzey Encoder degiskeni,SymbolComment,Pozisyon kontroloru cikis degiskeni,SymbolComment,Pozisyon kontroloru cikis degiskeni,SymbolComment,TEST durumu bilgi mesajinda gönderilen Azimut açisi.,SymbolComment,TEST durumu bilgi mesajinda gönderilen Elevasyon açisi.,SymbolComment, Hour: 0..23 ,SymbolComment, Minute: 0..59 ,SymbolComment, Second: 0..59 ,SymbolComment, Milliseconds: 0..999 
Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,UINT16,Data-Type,UINT16,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,REAL64,Data-Type,UINT16,Data-Type,UINT16,Data-Type,UINT16,Data-Type,UINT16
SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10
VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,2,VariableSize,2,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,8,VariableSize,2,VariableSize,2,VariableSize,2,VariableSize,2
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,16448,IndexGroup,16448,IndexGroup,61488,IndexGroup,61488,IndexGroup,61488,IndexGroup,61488,IndexGroup,16448,IndexGroup,16448,IndexGroup,16448,IndexGroup,16448,IndexGroup,61472,IndexGroup,61472,IndexGroup,16448,IndexGroup,16448,IndexGroup,61472,IndexGroup,61472,IndexGroup,16448,IndexGroup,16448,IndexGroup,16448,IndexGroup,16448,IndexGroup,16448,IndexGroup,16448
IndexOffset,891728,IndexOffset,891736,IndexOffset,891680,IndexOffset,891800,IndexOffset,891672,IndexOffset,891792,IndexOffset,595528,IndexOffset,595536,IndexOffset,803168,IndexOffset,803176,IndexOffset,803132,IndexOffset,803134,IndexOffset,891688,IndexOffset,891808,IndexOffset,891776,IndexOffset,891864,IndexOffset,595480,IndexOffset,595488,IndexOffset,778016,IndexOffset,778018,IndexOffset,778020,IndexOffset,778022
SymbolName,ANTENNA_MODE.lMotor_Vel_X,SymbolName,ANTENNA_MODE.lMotor_Vel_Y,SymbolName,ANTENNA_MODE.lposfeed_X,SymbolName,ANTENNA_MODE.lposfeed_Y,SymbolName,ANTENNA_MODE.lposref_X,SymbolName,ANTENNA_MODE.lposref_Y,SymbolName,MAIN.Feedback.X_Error,SymbolName,MAIN.Feedback.Y_Error,SymbolName,MAIN.XMotor_Tork,SymbolName,MAIN.YMotor_Tork,SymbolName,MAIN.uExtResX_IO,SymbolName,MAIN.uExtResY_IO,SymbolName,ANTENNA_MODE.lposfeed_XExt,SymbolName,ANTENNA_MODE.lposfeed_YExt,SymbolName,ANTENNA_MODE.lSpeedout_X,SymbolName,ANTENNA_MODE.lSpeedout_Y,SymbolName,MAIN.Feedback.Azimuth,SymbolName,MAIN.Feedback.Elevation,SymbolName,MAIN.Time_Sync_of_Windows.TIMESTR.wHour,SymbolName,MAIN.Time_Sync_of_Windows.TIMESTR.wMinute,SymbolName,MAIN.Time_Sync_of_Windows.TIMESTR.wSecond,SymbolName,MAIN.Time_Sync_of_Windows.TIMESTR.wMilliseconds
NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1,NetID,5.76.89.226.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0


0,1.3355046362890525E-05,0,4.38250186769842E-07,0,0.00056456486129760738,0,89.999425799345971,0,0,0,90,0,0.00056,0,0.00057,0,-4.488,0,16.1568,0,0,0,0,0,0.006866455078125,0,90.017509460449219,0,-4.1966856458734512,0,-4.2840001810902564,0,90,0,0.001,0,15,0,14,0,33,0,834
10,1.2328560412806172E-05,10,1.5823333960101971E-06,10,0.00056456486129760738,10,89.999425799345971,10,0,10,90,10,0.00056,10,0.00057,10,-4.4064,10,15.912,10,0,10,0,10,0.006694793701171875,10,90.017509460449219,10,-4.1967002898815524,10,-4.2839900250284293,10,90,10,0.001,10,15,10,14,10,33,10,845
20,-1.6526922826292285E-05,20,-1.065342854246739E-06,20,0.00056422290802001949,20,89.999425799345971,20,0,20,90,20,0.00056,20,0.00057,20,-3.9168,20,15.9936,20,0,20,0,20,0.007038116455078125,20,90.0175952911377,20,-4.1967135744668393,20,-4.283979747139008,20,90,20,0.001,20,15,20,14,20,33,20,856
30,2.9370028157243073E-05,30,-4.1073578839653387E-07,30,0.00056473583793640138,30,89.999425799345971,30,0,30,90,30,0.00056,30,0.00057,30,-4.6512,30,15.9936,30,0,30,0,30,0.006694793701171875,30,90.017509460449219,30,-4.1967242240001665,30,-4.2839685244507866,30,90,30,0.001,30,15,30,14,30,33,30,866
40,-6.3732822042756049E-06,40,-1.5835642694483172E-07,40,0.00056439388465881349,40,89.999425799345971,40,0,40,90,40,0.00056,40,0.00057,40,-5.2223999999999995,40,16.0752,40,0,40,0,40,0.0064373016357421875,40,90.0175952911377,40,-4.1967322016180075,40,-4.2839564898278484,40,90,40,0.001,40,15,40,14,40,33,40,876
50,-3.4736592095532032E-06,50,1.5486005493761686E-05,50,0.00056439388465881349,50,89.999425970363617,50,0,50,90,50,0.00056,50,0.00057,50,-4.2432,50,16.0752,50,0,50,0,50,0.006694793701171875,50,90.017766952514648,50,-4.1967393589877169,50,-4.2839440340495019,50,90,50,0.001,50,15,50,14,50,33,50,886
60,1.3634448773337339E-05,60,-2.244429246627344E-06,60,0.00056456486129760738,60,89.999425799345971,60,0,60,90,60,0.00056,60,0.00057,60,-4.3248,60,16.0752,60,0,60,0,60,0.0067806243896484375,60,90.0175952911377,60,-4.1967445005807349,60,-4.2839313669470966,60,90,60,0.001,60,15,60,14,60,33,60,896
70,1.4833495291436767E-05,70,6.7959145912165994E-07,70,0.00056456486129760738,70,89.999425799345971,70,0,70,90,70,0.00056,70,0.00057,70,-4.488,70,16.0752,70,0,70,0,70,0.0067806243896484375,70,90.017766952514648,70,-4.1967469532124673,70,-4.2839182687309,70,90,70,0.001,70,15,70,14,70,33,70,906
80,9.79412147343966E-06,80,-1.8799886280357332E-05,80,0.00056456486129760738,80,89.999425628328325,80,0,80,90,80,0.00056,80,0.00057,80,-4.488,80,15.9936,80,0,80,0,80,0.0067806243896484375,80,90.017509460449219,80,-4.1967457954992442,80,-4.2839058695346957,80,90,80,0.001,80,15,80,14,80,33,80,916
90,1.0203837803551175E-05,90,1.5551706402211161E-05,90,0.00056456486129760738,90,89.999425970363617,90,0,90,90,90,0.00056,90,0.00057,90,-5.1408000000000005,90,15.9936,90,0,90,0,90,0.0069522857666015625,90,90.017681121826172,90,-4.1967416684511125,90,-4.2838935510177594,90,90,90,0.001,90,15,90,14,90,33,90,926
100,1.0960294475546107E-05,100,-5.9761454666097077E-07,100,0.00056456486129760738,100,89.999425799345971,100,0,100,90,100,0.00056,100,0.00057,100,-5.304,100,15.9936,100,0,100,0,100,0.006866455078125,100,90.017337799072266,100,-4.196735550564533,100,-4.283881692024452,100,90,100,0.001,100,15,100,14,100,33,100,935
110,-6.19795246367267E-06,110,-1.3984798131800684E-06,110,0.00056439388465881349,110,89.999425799345971,110,0,110,90,110,0.00056,110,0.00057,110,-4.7328,110,15.9936,110,0,110,0,110,0.0067806243896484375,110,90.017423629760742,110,-4.1967295630965538,110,-4.2838702420079988,110,90,110,0.001,110,15,110,14,110,33,110,946
120,-2.4744258873560926E-06,120,-5.3917450737424046E-07,120,0.00056439388465881349,120,89.999425799345971,120,0,120,90,120,0.00056,120,0.00057,120,-4.9776,120,15.9936,120,0,120,0,120,0.0067806243896484375,120,90.017509460449219,120,-4.196724742970483,120,-4.2838591366513237,120,90,120,0.001,120,15,120,14,120,33,120,956
130,1.4323769069185711E-05,130,-2.0787511314961192E-07,130,0.00056456486129760738,130,89.999425799345971,130,0,130,90,130,0.00056,130,0.00057,130,-4.08,130,15.9936,130,0,130,0,130,0.00652313232421875,130,90.017423629760742,130,-4.196720131666102,130,-4.2838486393609765,130,90,130,0.001,130,15,130,14,130,33,130,966
140,1.4279039892473837E-05,140,-2.1868425111785856E-06,140,0.00056456486129760738,140,89.999425799345971,140,0,140,90,140,0.00056,140,0.00057,140,-4.3248,140,15.9936,140,0,140,0,140,0.0067806243896484375,140,90.0175952911377,140,-4.196713456028383,140,-4.2838390778906019,140,90,140,0.001,140,15,140,14,140,33,140,976
150,1.4640879141337312E-05,150,-8.4312245522412932E-07,150,0.00056456486129760738,150,89.999425799345971,150,0,150,90,150,0.00056,150,0.00057,150,-4.6512,150,16.0752,150,0,150,0,150,0.0067806243896484375,150,90.017766952514648,150,-4.1967043251360847,150,-4.2838298167869242,150,90,150,0.001,150,15,150,14,150,33,150,986
160,-2.6867913795406624E-06,160,-1.60994109333342E-06,160,0.00056439388465881349,160,89.999425799345971,160,0,160,90,160,0.00056,160,0.00057,160,-4.896,160,16.0752,160,0,160,0,160,0.007038116455078125,160,90.0175952911377,160,-4.1966927965084775,160,-4.2838210175049953,160,90,160,0.001,160,15,160,14,160,33,160,996
170,-4.0007011836812307E-06,170,1.7710795638308066E-07,170,0.00056439388465881349,170,89.999425799345971,170,0,170,90,170,0.00056,170,0.00057,170,-4.7328,170,16.0752,170,0,170,0,170,0.0069522857666015625,170,90.017681121826172,170,-4.1966799667673467,170,-4.2838129384646875,170,90,170,0.001,170,15,170,14,170,34,170,6
180,-3.3409944801885204E-05,180,-1.9418798692796248E-06,180,0.0005640519313812256,180,89.999425799345971,180,0,180,90,180,0.00056,180,0.00057,180,-4.6512,180,15.9936,180,0,180,0,180,0.0069522857666015625,180,90.017681121826172,180,-4.1966666347490564,180,-4.2838061759662338,180,90,180,0.001,180,15,180,14,180,34,180,16
190,2.0676870685454856E-06,190,-8.9331693557878961E-08,190,0.00056439388465881349,190,89.999425799345971,190,0,190,90,190,0.00056,190,0.00057,190,-4.9776,190,15.9936,190,0,190,0,190,0.0067806243896484375,190,90.0175952911377,190,-4.1966522122717587,190,-4.2838003203990347,190,90,190,0.001,190,15,190,14,190,34,190,25
200,2.6513468771052481E-06,200,-3.4441234984615555E-08,200,0.00056439388465881349,200,89.999425799345971,200,0,200,90,200,0.00056,200,0.00057,200,-4.2432,200,16.0752,200,0,200,0,200,0.0067806243896484375,200,90.0175952911377,200,-4.196634810201183,200,-4.2837959550552291,200,90,200,0.001,200,15,200,14,200,34,200,36
